Date,Open,High,Low,Close,Adj Close,Volume
2023-10-24,6087.0,6096.0,6003.0,6081.0,6081.0,2823900
2023-10-25,6125.0,6188.0,6111.0,6180.0,6180.0,3262800
2023-10-26,6142.0,6160.0,6105.0,6116.0,6116.0,2716200
2023-10-27,6168.0,6224.0,6130.0,6221.0,6221.0,3476300
2023-10-30,6190.0,6191.0,6101.0,6117.0,6117.0,2919500
2023-10-31,6171.0,6235.0,6116.0,6221.0,6221.0,4255100
2023-11-01,6343.0,6377.0,6291.0,6310.0,6310.0,3958700
2023-11-02,6365.0,6419.0,6323.0,6357.0,6357.0,3427400
2023-11-06,6360.0,6433.0,6295.0,6432.0,6432.0,5982900
2023-11-07,6410.0,6448.0,6365.0,6385.0,6385.0,3759300
2023-11-08,6600.0,6833.0,6531.0,6774.0,6774.0,15154600
2023-11-09,6874.0,7160.0,6840.0,7151.0,7151.0,12503700
2023-11-10,7110.0,7111.0,6860.0,6861.0,6861.0,7394600
2023-11-13,6998.0,7081.0,6943.0,7014.0,7014.0,6177500
2023-11-14,7110.0,7111.0,6993.0,7008.0,7008.0,3366500
2023-11-15,6980.0,7017.0,6932.0,6994.0,6994.0,3929200
2023-11-16,6974.0,7065.0,6966.0,7053.0,7053.0,3370000
2023-11-17,7040.0,7045.0,6912.0,6946.0,6946.0,3738200
2023-11-20,6910.0,6920.0,6783.0,6800.0,6800.0,4329100
2023-11-21,6849.0,6865.0,6797.0,6846.0,6846.0,2655600
2023-11-22,6870.0,6938.0,6835.0,6920.0,6920.0,2770200
2023-11-24,6960.0,6966.0,6854.0,6854.0,6854.0,3170100
2023-11-27,6900.0,6984.0,6846.0,6859.0,6859.0,3484800
2023-11-28,6895.0,6900.0,6796.0,6824.0,6824.0,2675900
2023-11-29,6845.0,6850.0,6798.0,6826.0,6826.0,2398700
2023-11-30,6826.0,6916.0,6810.0,6912.0,6912.0,4681800
2023-12-01,6917.0,6928.0,6846.0,6909.0,6909.0,3156700
2023-12-04,6882.0,6899.0,6786.0,6814.0,6814.0,2692800
2023-12-05,6809.0,6867.0,6775.0,6813.0,6813.0,2490000
2023-12-06,6803.0,6893.0,6777.0,6875.0,6875.0,2862800
2023-12-07,6910.0,6982.0,6856.0,6862.0,6862.0,3300800
2023-12-08,6863.0,6889.0,6790.0,6798.0,6798.0,4052500
2023-12-11,6850.0,6943.0,6808.0,6890.0,6890.0,3080800
2023-12-12,6914.0,7024.0,6914.0,6945.0,6945.0,2944300
2023-12-13,6955.0,6969.0,6889.0,6926.0,6926.0,2796500
2023-12-14,6830.0,6896.0,6812.0,6859.0,6859.0,3796700
2023-12-15,6790.0,6838.0,6729.0,6778.0,6778.0,5892400
2023-12-18,6748.0,6813.0,6739.0,6813.0,6813.0,3345900
2023-12-19,6880.0,6960.0,6849.0,6936.0,6936.0,3102900
2023-12-20,6963.0,7016.0,6951.0,6965.0,6965.0,3408500
2023-12-21,6945.0,6955.0,6896.0,6946.0,6946.0,1990300
2023-12-22,6950.0,7013.0,6916.0,6946.0,6946.0,2400300
