Date,Open,High,Low,Close,Adj Close,Volume
2023-09-25,4165.0,4210.0,4136.0,4210.0,4210.0,166949
2023-09-26,4153.0,4178.0,4117.0,4155.0,4155.0,443221
2023-09-27,4150.0,4180.0,4123.0,4123.0,4123.0,221164
2023-09-28,4121.0,4143.0,4039.0,4054.0,4054.0,314154
2023-09-29,4109.0,4159.0,4089.0,4107.0,4107.0,217085
2023-10-02,4103.0,4129.0,3986.0,3998.0,3998.0,385567
2023-10-03,3994.0,4033.0,3965.0,3968.0,3968.0,214045
2023-10-04,3942.0,3998.0,3930.0,3970.0,3970.0,545561
2023-10-05,3980.0,4056.0,3980.0,4022.0,4022.0,195652
2023-10-06,4044.0,4112.0,4030.0,4112.0,4112.0,282458
2023-10-09,4103.0,4122.0,4066.0,4066.0,4066.0,272026
2023-10-10,4104.0,4156.0,4104.0,4134.0,4134.0,488793
2023-10-11,4103.0,4177.0,4084.0,4139.0,4139.0,718182
2023-10-12,4181.0,4190.0,4122.0,4122.0,4122.0,240495
2023-10-13,4103.0,4117.0,4007.0,4015.0,4015.0,214373
2023-10-16,4078.0,4078.0,3985.0,4061.0,4061.0,191565
2023-10-17,4016.0,4099.0,4001.0,4099.0,4099.0,231326
2023-10-18,4102.0,4109.0,3980.0,3995.0,3995.0,182208
2023-10-19,3978.0,4011.0,3925.0,3980.0,3980.0,227300
2023-10-20,3946.0,3981.0,3923.0,3955.0,3955.0,368831
2023-10-23,3960.0,4015.0,3903.0,3987.0,3987.0,239600
2023-10-24,3997.0,4022.0,3966.0,3999.0,3999.0,177289
2023-10-25,3988.0,4012.0,3948.0,3957.0,3957.0,291537
2023-10-26,3960.0,4042.0,3942.0,4001.0,4001.0,339486
2023-10-27,4019.0,4021.0,3967.0,3979.0,3979.0,240316
2023-10-30,4018.0,4069.0,3985.0,3999.0,3999.0,426058
2023-10-31,4019.0,4073.0,4015.0,4036.0,4036.0,346136
2023-11-01,4063.0,4089.0,4000.0,4086.0,4086.0,284968
2023-11-02,4124.0,4221.0,4124.0,4178.0,4178.0,332043
2023-11-03,4199.0,4288.0,4186.0,4227.0,4227.0,171789
2023-11-06,4238.0,4267.0,4182.0,4189.0,4189.0,168223
2023-11-07,4186.0,4250.0,4178.0,4246.0,4246.0,289663
2023-11-08,4240.0,4258.0,4213.0,4234.0,4234.0,249868
2023-11-09,4227.0,4307.0,4227.0,4298.0,4298.0,250700
2023-11-10,4284.0,4284.0,4190.0,4242.0,4242.0,186238
2023-11-13,4263.0,4304.0,4250.0,4302.0,4302.0,380809
2023-11-14,4310.0,4436.25,4277.0,4432.0,4432.0,176709
2023-11-15,4452.0,4572.0,4447.0,4484.0,4484.0,563224
2023-11-16,4485.0,4504.0,4442.0,4449.0,4449.0,137606
2023-11-17,4453.0,4538.0,4453.0,4521.0,4521.0,203009
2023-11-20,4533.0,4552.0,4505.51708984375,4552.0,4552.0,150490
2023-11-21,4542.0,4590.0,4515.0,4562.0,4562.0,178494
2023-11-22,4573.0,4646.0,4548.0,4565.0,4565.0,225845
2023-11-23,4569.0,4597.0,4558.0,4565.0,4565.0,97530
2023-11-24,4560.0,4584.0,4546.0,4562.0,4562.0,148978
2023-11-27,4567.0,4602.0,4559.0,4596.0,4596.0,142134
2023-11-28,4571.0,4603.0,4557.0,4592.0,4592.0,254615
2023-11-29,4591.0,4649.0,4577.0,4646.0,4646.0,154027
2023-11-30,4645.0,4677.0,4618.0,4636.0,4636.0,606767
2023-12-01,4661.0,4733.0,4661.0,4712.0,4712.0,204755
2023-12-04,4696.0,4772.0,4659.0,4727.0,4727.0,366613
2023-12-05,4718.0,4782.0,4718.0,4778.0,4778.0,250885
2023-12-06,4817.0,4894.0,4779.0,4871.0,4871.0,248055
2023-12-07,4876.0,4958.0,4835.0,4940.0,4940.0,231653
2023-12-08,4950.0,4980.0,4727.0,4740.0,4740.0,412926
2023-12-11,4749.0,4774.0,4668.0,4718.0,4718.0,304330
2023-12-12,4737.0,4771.0,4711.0,4711.0,4711.0,497583
2023-12-13,4725.0,4752.0,4699.0,4710.0,4710.0,210785
2023-12-14,4820.0,4878.0,4681.0,4810.0,4810.0,710026
2023-12-15,4809.0,4892.0,4809.0,4869.0,4869.0,477082
2023-12-18,4777.0,4816.0,4681.0,4705.0,4705.0,215808
2023-12-19,4705.0,4777.0,4680.0,4777.0,4777.0,230951
2023-12-20,4872.0,4911.0,4759.0,4807.0,4807.0,319525
2023-12-21,4789.0,4804.0,4735.0,4769.0,4769.0,180370
2023-12-22,4756.0,4781.0,4739.0,4774.0,4774.0,51531
2023-12-27,4788.0,4824.0,4714.0,4757.0,4757.0,152250
2023-12-28,4766.0,4782.0,4703.0,4737.0,4737.0,123268
2023-12-29,4768.0,4768.0,4688.0,4688.0,4688.0,162753
2024-01-02,4711.0,4743.0,4660.0,4708.0,4708.0,243824
2024-01-03,4682.0,4717.0,4661.0400390625,4688.0,4688.0,225782
2024-01-04,4651.0,4775.0,4651.0,4775.0,4775.0,270721
2024-01-05,4730.0,4799.0,4703.0,4799.0,4799.0,255906
2024-01-08,4704.0,4845.0,4704.0,4845.0,4845.0,323909
2024-01-09,4816.0,4843.0,4786.0,4786.0,4786.0,265163
2024-01-10,4803.0,4902.0,4798.0,4898.0,4898.0,189817
2024-01-11,4910.0,4917.4609375,4747.0,4761.0,4761.0,478879
2024-01-12,4786.0,4840.0,4758.0,4768.0,4768.0,198712
