Date,Open,High,Low,Close,Adj Close,Volume
2023-09-25,1100.0,1116.0,1091.0,1110.0,1089.0960693359375,1432224
2023-09-26,1107.0,1118.5,1098.5,1098.5,1077.8126220703125,1969381
2023-09-27,1102.0,1106.0,1082.5,1082.5,1062.1138916015625,1097158
2023-09-28,1080.0,1088.5,1050.5,1052.0,1032.1883544921875,1413981
2023-09-29,1057.5,1095.0,1056.5,1077.5,1057.2081298828125,1025129
2023-10-02,1085.5,1093.0,1033.0,1037.0,1017.4708251953125,1231034
2023-10-03,1036.5,1050.0,1018.0,1018.0,998.82861328125,807880
2023-10-04,1005.0,1028.4599609375,1001.7639770507812,1008.5,989.507568359375,2037215
2023-10-05,1010.0,1033.5,1009.5,1026.5,1007.1685791015625,1132111
2023-10-06,1032.5,1054.5,1018.0,1045.0,1025.3201904296875,1054031
2023-10-09,1046.0,1050.0,1022.0,1029.5,1010.112060546875,515274
2023-10-10,1040.0,1068.5999755859375,1020.5,1066.0,1045.9246826171875,642173
2023-10-11,1055.5,1076.0,1047.0,1062.0,1042.0,873841
2023-10-12,1048.5,1063.5,1032.5,1035.0,1035.0,819558
2023-10-13,1031.0,1063.5,1011.0,1013.0,1013.0,1166031
2023-10-16,1013.5,1038.0,1013.5,1032.0,1032.0,847154
2023-10-17,1021.5,1072.5,998.0,1069.5,1069.5,1478439
2023-10-18,1071.5,1077.0,983.0,997.4000244140625,997.4000244140625,2517189
2023-10-19,987.0,1001.4500122070312,971.5999755859375,980.0,980.0,1505581
2023-10-20,965.5999755859375,984.5960083007812,959.0,973.4000244140625,973.4000244140625,1322623
2023-10-23,976.0,981.4000244140625,947.4000244140625,972.5999755859375,972.5999755859375,1117266
2023-10-24,972.0,976.0,925.0,971.2000122070312,971.2000122070312,1207701
2023-10-25,970.5999755859375,970.5999755859375,943.5999755859375,960.4000244140625,960.4000244140625,2236883
2023-10-26,946.5999755859375,978.0,925.0,978.0,978.0,706727
2023-10-27,983.7999877929688,995.7999877929688,971.2000122070312,985.2000122070312,985.2000122070312,615691
2023-10-30,992.2000122070312,1016.5,987.2000122070312,1004.0,1004.0,988472
2023-10-31,1002.0,1033.0,987.2000122070312,1016.0,1016.0,980224
2023-11-01,1023.5,1033.0,1002.5,1032.0,1032.0,1027395
2023-11-02,1044.5,1082.0,1023.0,1072.0,1072.0,1594426
2023-11-03,1078.0,1135.0,1062.0,1115.5,1115.5,1597511
2023-11-06,1112.0,1120.5,1081.2750244140625,1081.5,1081.5,4983320
2023-11-07,1084.0,1155.0360107421875,1075.0,1145.5,1145.5,2143279
2023-11-08,1130.0,1162.0,1120.0,1143.0,1143.0,1328010
2023-11-09,1142.5,1176.5,1135.0,1176.5,1176.5,1783360
2023-11-10,1158.5,1165.0,1129.0,1149.0,1149.0,1137820
2023-11-13,1153.5,1171.0,1137.5,1170.5,1170.5,2271319
2023-11-14,1173.0,1241.0,1161.5,1239.5,1239.5,3185151
2023-11-15,1257.5,1295.5,1232.0,1236.5,1236.5,1515550
2023-11-16,1234.5,1243.9990234375,1213.0,1215.0,1215.0,1126684
2023-11-17,1213.0,1240.800048828125,1202.5,1240.0,1240.0,1286619
2023-11-20,1230.0,1251.0,1228.0,1251.0,1251.0,595700
2023-11-21,1226.0,1265.5,1226.0,1247.0,1247.0,1391763
2023-11-22,1245.0,1272.0,1230.0,1251.5,1251.5,1382011
2023-11-23,1241.0,1276.0,1232.5,1253.0,1253.0,751010
2023-11-24,1251.0,1261.5,1240.0,1257.0,1257.0,575419
2023-11-27,1247.0,1269.0,1244.0,1261.5,1261.5,496888
2023-11-28,1252.0,1272.5,1227.5,1246.5,1246.5,1212739
2023-11-29,1243.0,1262.5,1241.5,1259.0,1259.0,817124
2023-11-30,1252.0,1268.0,1249.5,1251.5,1251.5,2276666
2023-12-01,1258.5,1286.0,1256.0,1277.5,1277.5,762810
2023-12-04,1273.0,1295.5,1267.5,1281.5,1281.5,784744
2023-12-05,1274.0,1295.5,1266.0,1275.5,1275.5,2575238
2023-12-06,1278.0,1304.0,1267.0,1298.5,1298.5,2370316
2023-12-07,1305.0,1313.8499755859375,1236.5,1308.5,1308.5,1029991
2023-12-08,1311.0,1320.0,1292.5,1309.5,1309.5,1302586
2023-12-11,1307.0,1317.0,1296.5,1311.5,1311.5,603129
2023-12-12,1311.0,1326.5,1286.0,1288.5,1288.5,810171
2023-12-13,1302.5,1324.0,1285.5,1285.5,1285.5,1802793
2023-12-14,1331.5,1371.0,1330.5,1358.0,1358.0,1395783
2023-12-15,1366.5,1384.5,1349.0,1361.0,1361.0,1922111
2023-12-18,1345.0,1369.5,1332.0,1349.5,1349.5,645141
2023-12-19,1352.5,1375.5,1340.0,1359.5,1359.5,3942354
2023-12-20,1403.0,1425.0,1351.0,1385.0,1385.0,1206972
2023-12-21,1371.0,1388.0,1362.5,1372.5,1372.5,676142
2023-12-22,1360.5,1388.5,1349.5,1388.5,1388.5,448510
2023-12-27,1392.0,1402.0,1377.5,1390.0,1390.0,1260231
2023-12-28,1393.5,1397.0,1374.25,1383.5,1383.5,411716
2023-12-29,1386.5,1393.0,1377.5,1389.0,1389.0,247091
2024-01-02,1396.0,1412.5,1371.5,1378.5,1378.5,617147
2024-01-03,1362.0,1375.5,1345.5,1358.0,1358.0,936109
2024-01-04,1355.5,1389.0,1352.75,1387.0,1387.0,859503
2024-01-05,1372.5,1400.0,1363.5,1397.0,1397.0,1191354
2024-01-08,1391.5,1454.0,1389.9959716796875,1454.0,1454.0,1387645
